+-------------+----------------+-------------+------------+--------------+
|     I_O     | Buffer_Size_KB | Write_Count | Read_Count | Time_Taken_s |
|    Write    |       80       |      10     |     1      |  0.000141s   |
|     Read    |       8        |      10     |     1      |    5e-06s    |
|  AIO_Write  |       80       |      10     |     1      |  0.009665s   |
|   AIO_Read  |       8        |      10     |     1      |    4e-05s    |
|    Write    |       16       |      2      |     2      |   8.5e-05s   |
|     Read    |       16       |      2      |     2      |    6e-06s    |
|  AIO_Write  |       16       |      2      |     2      |  0.005503s   |
|   AIO_Read  |       16       |      2      |     2      |  0.013002s   |
|    Write    |       32       |      4      |     2      |  0.000104s   |
|     Read    |       16       |      4      |     2      |    7e-06s    |
|  AIO_Write  |       32       |      4      |     2      |  0.013616s   |
|   AIO_Read  |       16       |      4      |     2      |   4.4e-05s   |
|    Write    |       48       |      6      |     2      |  0.000118s   |
|     Read    |       16       |      6      |     2      |    9e-06s    |
|  AIO_Write  |       48       |      6      |     2      |   0.00967s   |
|   AIO_Read  |       16       |      6      |     2      |   4.7e-05s   |
|    Write    |       64       |      8      |     2      |  0.000135s   |
|     Read    |       16       |      8      |     2      |    8e-06s    |
|  AIO_Write  |       64       |      8      |     2      |  0.015284s   |
|   AIO_Read  |       16       |      8      |     2      |   4.4e-05s   |
|    Write    |       80       |      10     |     2      |  0.000137s   |
|     Read    |       16       |      10     |     2      |   1.7e-05s   |
|  AIO_Write  |       80       |      10     |     2      |  0.015578s   |
|   AIO_Read  |       16       |      10     |     2      |   4.3e-05s   |
|    Write    |       32       |      4      |     4      |  0.000106s   |
|     Read    |       32       |      4      |     4      |    9e-06s    |
|  AIO_Write  |       32       |      4      |     4      |  0.014095s   |
|   AIO_Read  |       32       |      4      |     4      |    6e-05s    |
|    Write    |       48       |      6      |     4      |   0.00011s   |
|     Read    |       32       |      6      |     4      |    9e-06s    |
|  AIO_Write  |       48       |      6      |     4      |  0.009999s   |
|   AIO_Read  |       32       |      6      |     4      |   4.7e-05s   |
|    Write    |       64       |      8      |     4      |  0.000124s   |
