+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_KB | Buffer_size_KB | Write_Count | Read_Count | Time_Taken_s |
|    Write    |     64k      |      64k       |      0      |     1      |   9.5e-05s   |
| Total_Write |     64k      |      64k       |      1      |     1      |   9.5e-05s   |
|     Read    |     64k      |      64k       |      1      |     0      |  0.220605s   |
|  Total_Read |     64k      |      64k       |      1      |     1      |  0.220605s   |
|  AIO_Write  |     64k      |      64k       |      1      |     1      |  0.210039s   |
|   AIO_Read  |     64k      |      64k       |      1      |     1      |  0.109362s   |
|  MMap_Write |     64k      |      64k       |      1      |     1      |  0.367958s   |
|  MMap_Read  |     64k      |      64k       |      1      |     1      |  0.645778s   |
| UMmap_Write |     64k      |      64k       |      1      |     1      |  0.564951s   |
|  UMmap_Read |     64k      |      64k       |      1      |     1      |  0.380891s   |
|    Write    |     256k     |      64k       |      0      |     1      |    8e-05s    |
|    Write    |     256k     |      64k       |      1      |     1      |   6.4e-05s   |
|    Write    |     256k     |      64k       |      2      |     1      |   4.7e-05s   |
|    Write    |     256k     |      64k       |      3      |     1      |   5.6e-05s   |
| Total_Write |     256k     |      64k       |      4      |     1      |  6.175e-05s  |
|     Read    |     256k     |      64k       |      4      |     0      |  0.338767s   |
|  Total_Read |     64k      |      64k       |      4      |     1      |  0.338767s   |
|  AIO_Write  |     256k     |      64k       |      4      |     1      |  0.044655s   |
|   AIO_Read  |     256k     |      64k       |      4      |     1      |  0.123828s   |
|  MMap_Write |     256k     |      64k       |      4      |     1      |  0.445069s   |
|  MMap_Read  |     256k     |      64k       |      4      |     1      |   0.05426s   |
| UMmap_Write |     256k     |      64k       |      4      |     1      |   0.26773s   |
|  UMmap_Read |     256k     |      64k       |      4      |     1      |  0.505577s   |
|    Write    |     256k     |      64k       |      0      |     4      |  0.000103s   |
|    Write    |     256k     |      64k       |      1      |     4      |   9.2e-05s   |
|    Write    |     256k     |      64k       |      2      |     4      |   8.1e-05s   |
|    Write    |     256k     |      64k       |      3      |     4      |   7.6e-05s   |
| Total_Write |     256k     |      64k       |      4      |     4      |   8.8e-05s   |
|     Read    |     256k     |      64k       |      4      |     0      |  0.292164s   |
|     Read    |     256k     |      64k       |      4      |     1      |  0.000154s   |
|     Read    |     256k     |      64k       |      4      |     2      |  0.000453s   |
|     Read    |     256k     |      64k       |      4      |     3      |   2.8e-05s   |
|  Total_Read |     256k     |      64k       |      4      |     4      |  0.0731997s  |
|  AIO_Write  |     256k     |      64k       |      4      |     4      |  0.256011s   |
|   AIO_Read  |     256k     |      64k       |      4      |     4      |  0.152938s   |
|  MMap_Write |     256k     |      64k       |      4      |     4      |  0.609703s   |
|  MMap_Read  |     256k     |      64k       |      4      |     4      |  0.407953s   |
| UMmap_Write |     256k     |      64k       |      4      |     4      |  0.342799s   |
|  UMmap_Read |     256k     |      64k       |      4      |     4      |   0.74676s   |
|    Write    |     512k     |      64k       |      0      |     1      |  0.000102s   |
|    Write    |     512k     |      64k       |      1      |     1      |  0.000108s   |
|    Write    |     512k     |      64k       |      2      |     1      |   7.8e-05s   |
|    Write    |     512k     |      64k       |      3      |     1      |   8.1e-05s   |
|    Write    |     512k     |      64k       |      4      |     1      |   7.5e-05s   |
|    Write    |     512k     |      64k       |      5      |     1      |   7.9e-05s   |
|    Write    |     512k     |      64k       |      6      |     1      |   7.3e-05s   |
|    Write    |     512k     |      64k       |      7      |     1      |   7.8e-05s   |
| Total_Write |     512k     |      64k       |      8      |     1      |  8.425e-05s  |
|     Read    |     512k     |      64k       |      8      |     0      |  0.104595s   |
|  Total_Read |     64k      |      64k       |      8      |     1      |  0.104595s   |
|  AIO_Write  |     512k     |      64k       |      8      |     1      |  0.060038s   |
|   AIO_Read  |     512k     |      64k       |      8      |     1      |  0.082492s   |
|  MMap_Write |     512k     |      64k       |      8      |     1      |  0.245871s   |
|  MMap_Read  |     512k     |      64k       |      8      |     1      |  0.062032s   |
| UMmap_Write |     512k     |      64k       |      8      |     1      |  0.366649s   |
|  UMmap_Read |     512k     |      64k       |      8      |     1      |  0.396996s   |
|    Write    |     512k     |      64k       |      0      |     4      |   9.6e-05s   |
|    Write    |     512k     |      64k       |      1      |     4      |   9.2e-05s   |
|    Write    |     512k     |      64k       |      2      |     4      |   7.6e-05s   |
|    Write    |     512k     |      64k       |      3      |     4      |   7.2e-05s   |
|    Write    |     512k     |      64k       |      4      |     4      |   7.9e-05s   |
|    Write    |     512k     |      64k       |      5      |     4      |   7.5e-05s   |
|    Write    |     512k     |      64k       |      6      |     4      |   7.7e-05s   |
|    Write    |     512k     |      64k       |      7      |     4      |   7.3e-05s   |
| Total_Write |     512k     |      64k       |      8      |     4      |    8e-05s    |
|     Read    |     512k     |      64k       |      8      |     0      |   0.15946s   |
|     Read    |     512k     |      64k       |      8      |     1      |   9.4e-05s   |
|     Read    |     512k     |      64k       |      8      |     2      |  0.019669s   |
|     Read    |     512k     |      64k       |      8      |     3      |   1.8e-05s   |
|  Total_Read |     256k     |      64k       |      8      |     4      |  0.0448102s  |
|  AIO_Write  |     512k     |      64k       |      8      |     4      |  0.090211s   |
|   AIO_Read  |     512k     |      64k       |      8      |     4      |  0.047955s   |
|  MMap_Write |     512k     |      64k       |      8      |     4      |  0.407334s   |
|  MMap_Read  |     512k     |      64k       |      8      |     4      |  0.207337s   |
| UMmap_Write |     512k     |      64k       |      8      |     4      |  0.315387s   |
|  UMmap_Read |     512k     |      64k       |      8      |     4      |  0.574344s   |
|    Write    |     512k     |      64k       |      0      |     8      |   8.9e-05s   |
|    Write    |     512k     |      64k       |      1      |     8      |   8.2e-05s   |
|    Write    |     512k     |      64k       |      2      |     8      |    5e-05s    |
|    Write    |     512k     |      64k       |      3      |     8      |   5.9e-05s   |
|    Write    |     512k     |      64k       |      4      |     8      |   3.6e-05s   |
|    Write    |     512k     |      64k       |      5      |     8      |   3.7e-05s   |
|    Write    |     512k     |      64k       |      6      |     8      |   3.4e-05s   |
|    Write    |     512k     |      64k       |      7      |     8      |   3.6e-05s   |
| Total_Write |     512k     |      64k       |      8      |     8      | 5.2875e-05s  |
|     Read    |     512k     |      64k       |      8      |     0      |  0.063264s   |
|     Read    |     512k     |      64k       |      8      |     1      |    6e-05s    |
|     Read    |     512k     |      64k       |      8      |     2      |  0.019751s   |
|     Read    |     512k     |      64k       |      8      |     3      |   1.7e-05s   |
|     Read    |     512k     |      64k       |      8      |     4      |  0.001409s   |
|     Read    |     512k     |      64k       |      8      |     5      |   1.3e-05s   |
|     Read    |     512k     |      64k       |      8      |     6      |  0.003387s   |
|     Read    |     512k     |      64k       |      8      |     7      |   1.7e-05s   |
|  Total_Read |     512k     |      64k       |      8      |     8      |  0.0109898s  |
|  AIO_Write  |     512k     |      64k       |      8      |     8      |   0.12788s   |
|   AIO_Read  |     512k     |      64k       |      8      |     8      |  0.131084s   |
|  MMap_Write |     512k     |      64k       |      8      |     8      |  0.608367s   |
|  MMap_Read  |     512k     |      64k       |      8      |     8      |  0.149364s   |
| UMmap_Write |     512k     |      64k       |      8      |     8      |  0.281671s   |
|  UMmap_Read |     512k     |      64k       |      8      |     8      |  0.753312s   |
|    Write    |     640k     |      64k       |      0      |     1      |   9.9e-05s   |
|    Write    |     640k     |      64k       |      1      |     1      |  0.000223s   |
|    Write    |     640k     |      64k       |      2      |     1      |   5.7e-05s   |
|    Write    |     640k     |      64k       |      3      |     1      |  0.000119s   |
|    Write    |     640k     |      64k       |      4      |     1      |   3.6e-05s   |
|    Write    |     640k     |      64k       |      5      |     1      |   3.4e-05s   |
|    Write    |     640k     |      64k       |      6      |     1      |   3.4e-05s   |
|    Write    |     640k     |      64k       |      7      |     1      |   5.8e-05s   |
|    Write    |     640k     |      64k       |      8      |     1      |  0.000112s   |
|    Write    |     640k     |      64k       |      9      |     1      |  0.000132s   |
| Total_Write |     640k     |      64k       |      10     |     1      |  9.04e-05s   |
|     Read    |     640k     |      64k       |      10     |     0      |  0.130033s   |
|  Total_Read |     64k      |      64k       |      10     |     1      |  0.130033s   |
|  AIO_Write  |     640k     |      64k       |      10     |     1      |  0.037806s   |
|   AIO_Read  |     640k     |      64k       |      10     |     1      |  0.138324s   |
|  MMap_Write |     640k     |      64k       |      10     |     1      |   0.26734s   |
|  MMap_Read  |     640k     |      64k       |      10     |     1      |  0.071036s   |
| UMmap_Write |     640k     |      64k       |      10     |     1      |   0.42423s   |
|  UMmap_Read |     640k     |      64k       |      10     |     1      |  0.612741s   |
|    Write    |     640k     |      64k       |      0      |     4      |   9.2e-05s   |
|    Write    |     640k     |      64k       |      1      |     4      |   9.3e-05s   |
|    Write    |     640k     |      64k       |      2      |     4      |   5.3e-05s   |
|    Write    |     640k     |      64k       |      3      |     4      |   6.7e-05s   |
|    Write    |     640k     |      64k       |      4      |     4      |   7.7e-05s   |
|    Write    |     640k     |      64k       |      5      |     4      |    5e-05s    |
|    Write    |     640k     |      64k       |      6      |     4      |   4.8e-05s   |
|    Write    |     640k     |      64k       |      7      |     4      |   4.6e-05s   |
|    Write    |     640k     |      64k       |      8      |     4      |    5e-05s    |
|    Write    |     640k     |      64k       |      9      |     4      |   4.5e-05s   |
| Total_Write |     640k     |      64k       |      10     |     4      |  6.21e-05s   |
|     Read    |     640k     |      64k       |      10     |     0      |  0.036974s   |
|     Read    |     640k     |      64k       |      10     |     1      |   6.6e-05s   |
|     Read    |     640k     |      64k       |      10     |     2      |  0.011529s   |
|     Read    |     640k     |      64k       |      10     |     3      |   1.7e-05s   |
|  Total_Read |     256k     |      64k       |      10     |     4      |  0.0121465s  |
|  AIO_Write  |     640k     |      64k       |      10     |     4      |  0.129376s   |
|   AIO_Read  |     640k     |      64k       |      10     |     4      |  0.053749s   |
|  MMap_Write |     640k     |      64k       |      10     |     4      |  0.177747s   |
|  MMap_Read  |     640k     |      64k       |      10     |     4      |  0.242147s   |
| UMmap_Write |     640k     |      64k       |      10     |     4      |  0.347962s   |
|  UMmap_Read |     640k     |      64k       |      10     |     4      |   1.12221s   |
|    Write    |     640k     |      64k       |      0      |     8      |  0.000126s   |
|    Write    |     640k     |      64k       |      1      |     8      |   9.1e-05s   |
|    Write    |     640k     |      64k       |      2      |     8      |   7.5e-05s   |
|    Write    |     640k     |      64k       |      3      |     8      |   7.9e-05s   |
|    Write    |     640k     |      64k       |      4      |     8      |   7.9e-05s   |
|    Write    |     640k     |      64k       |      5      |     8      |   7.5e-05s   |
|    Write    |     640k     |      64k       |      6      |     8      |   7.9e-05s   |
|    Write    |     640k     |      64k       |      7      |     8      |   7.6e-05s   |
|    Write    |     640k     |      64k       |      8      |     8      |   7.7e-05s   |
|    Write    |     640k     |      64k       |      9      |     8      |   7.4e-05s   |
| Total_Write |     640k     |      64k       |      10     |     8      |  8.31e-05s   |
|     Read    |     640k     |      64k       |      10     |     0      |  0.031207s   |
|     Read    |     640k     |      64k       |      10     |     1      |   6.9e-05s   |
|     Read    |     640k     |      64k       |      10     |     2      |  0.011445s   |
|     Read    |     640k     |      64k       |      10     |     3      |   2.3e-05s   |
|     Read    |     640k     |      64k       |      10     |     4      |  0.001386s   |
|     Read    |     640k     |      64k       |      10     |     5      |   1.7e-05s   |
|     Read    |     640k     |      64k       |      10     |     6      |   0.00137s   |
|     Read    |     640k     |      64k       |      10     |     7      |   1.4e-05s   |
|  Total_Read |     512k     |      64k       |      10     |     8      | 0.00569138s  |
|  AIO_Write  |     640k     |      64k       |      10     |     8      |  0.313442s   |
|   AIO_Read  |     640k     |      64k       |      10     |     8      |  0.060274s   |
|  MMap_Write |     640k     |      64k       |      10     |     8      |  0.178782s   |
|  MMap_Read  |     640k     |      64k       |      10     |     8      |  0.202105s   |
| UMmap_Write |     640k     |      64k       |      10     |     8      |  0.331951s   |
|  UMmap_Read |     640k     |      64k       |      10     |     8      |  0.881679s   |
|    Write    |     640k     |      64k       |      0      |     10     |  0.000113s   |
|    Write    |     640k     |      64k       |      1      |     10     |   8.1e-05s   |
|    Write    |     640k     |      64k       |      2      |     10     |   6.1e-05s   |
|    Write    |     640k     |      64k       |      3      |     10     |   5.4e-05s   |
|    Write    |     640k     |      64k       |      4      |     10     |   5.5e-05s   |
|    Write    |     640k     |      64k       |      5      |     10     |   5.3e-05s   |
|    Write    |     640k     |      64k       |      6      |     10     |   5.1e-05s   |
|    Write    |     640k     |      64k       |      7      |     10     |   5.2e-05s   |
|    Write    |     640k     |      64k       |      8      |     10     |   4.8e-05s   |
|    Write    |     640k     |      64k       |      9      |     10     |   5.8e-05s   |
| Total_Write |     640k     |      64k       |      10     |     10     |  6.26e-05s   |
|     Read    |     640k     |      64k       |      10     |     0      |  0.048515s   |
|     Read    |     640k     |      64k       |      10     |     1      |  0.000101s   |
|     Read    |     640k     |      64k       |      10     |     2      |  0.033547s   |
|     Read    |     640k     |      64k       |      10     |     3      |   6.3e-05s   |
|     Read    |     640k     |      64k       |      10     |     4      |  0.001294s   |
|     Read    |     640k     |      64k       |      10     |     5      |    2e-05s    |
|     Read    |     640k     |      64k       |      10     |     6      |  0.001421s   |
|     Read    |     640k     |      64k       |      10     |     7      |   1.1e-05s   |
|     Read    |     640k     |      64k       |      10     |     8      |  0.001443s   |
|     Read    |     640k     |      64k       |      10     |     9      |   1.1e-05s   |
|  Total_Read |     640k     |      64k       |      10     |     10     |  0.0086426s  |
|  AIO_Write  |     640k     |      64k       |      10     |     10     |  0.224259s   |
|   AIO_Read  |     640k     |      64k       |      10     |     10     |   0.10902s   |
|  MMap_Write |     640k     |      64k       |      10     |     10     |  0.149153s   |
|  MMap_Read  |     640k     |      64k       |      10     |     10     |  0.172497s   |
| UMmap_Write |     640k     |      64k       |      10     |     10     |  0.367461s   |
|  UMmap_Read |     640k     |      64k       |      10     |     10     |   0.41894s   |
|    Write    |    1024k     |     1024k      |      0      |     1      |  0.000534s   |
| Total_Write |    1024k     |     1024k      |      1      |     1      |  0.000534s   |
|     Read    |    1024k     |     1024k      |      1      |     0      |  0.197469s   |
|  Total_Read |    1024k     |     1024k      |      1      |     1      |  0.197469s   |
|  AIO_Write  |    1024k     |     1024k      |      1      |     1      |  0.094188s   |
|   AIO_Read  |    1024k     |     1024k      |      1      |     1      |  0.116672s   |
|  MMap_Write |    1024k     |     1024k      |      1      |     1      |  0.356798s   |
|  MMap_Read  |    1024k     |     1024k      |      1      |     1      |   0.1839s    |
| UMmap_Write |    1024k     |     1024k      |      1      |     1      |  0.305174s   |
|  UMmap_Read |    1024k     |     1024k      |      1      |     1      |  0.427127s   |
|    Write    |    4096k     |     1024k      |      0      |     1      |  0.000584s   |
|    Write    |    4096k     |     1024k      |      1      |     1      |  0.001047s   |
|    Write    |    4096k     |     1024k      |      2      |     1      |  0.000663s   |
|    Write    |    4096k     |     1024k      |      3      |     1      |  0.000663s   |
| Total_Write |    4096k     |     1024k      |      4      |     1      | 0.00073925s  |
|     Read    |    4096k     |     1024k      |      4      |     0      |  0.085689s   |
|  Total_Read |    1024k     |     1024k      |      4      |     1      |  0.085689s   |
|  AIO_Write  |    4096k     |     1024k      |      4      |     1      |  0.190592s   |
|   AIO_Read  |    4096k     |     1024k      |      4      |     1      |  0.360457s   |
|  MMap_Write |    4096k     |     1024k      |      4      |     1      |  0.303435s   |
|  MMap_Read  |    4096k     |     1024k      |      4      |     1      |  0.217492s   |
| UMmap_Write |    4096k     |     1024k      |      4      |     1      |  0.235646s   |
|  UMmap_Read |    4096k     |     1024k      |      4      |     1      |  0.335058s   |
|    Write    |    4096k     |     1024k      |      0      |     4      |  0.000521s   |
|    Write    |    4096k     |     1024k      |      1      |     4      |  0.001173s   |
|    Write    |    4096k     |     1024k      |      2      |     4      |  0.001003s   |
|    Write    |    4096k     |     1024k      |      3      |     4      |  0.000823s   |
| Total_Write |    4096k     |     1024k      |      4      |     4      |   0.00088s   |
|     Read    |    4096k     |     1024k      |      4      |     0      |  0.215906s   |
|     Read    |    4096k     |     1024k      |      4      |     1      |  0.057103s   |
|     Read    |    4096k     |     1024k      |      4      |     2      |  0.013725s   |
|     Read    |    4096k     |     1024k      |      4      |     3      |   0.02494s   |
|  Total_Read |    4096k     |     1024k      |      4      |     4      |  0.0779185s  |
|  AIO_Write  |    4096k     |     1024k      |      4      |     4      |   0.06007s   |
|   AIO_Read  |    4096k     |     1024k      |      4      |     4      |  0.164781s   |
|  MMap_Write |    4096k     |     1024k      |      4      |     4      |  0.220006s   |
|  MMap_Read  |    4096k     |     1024k      |      4      |     4      |  0.370823s   |
| UMmap_Write |    4096k     |     1024k      |      4      |     4      |  0.309874s   |
|  UMmap_Read |    4096k     |     1024k      |      4      |     4      |  0.319082s   |
|    Write    |    8192k     |     1024k      |      0      |     1      |  0.000576s   |
|    Write    |    8192k     |     1024k      |      1      |     1      |  0.001173s   |
|    Write    |    8192k     |     1024k      |      2      |     1      |  0.000962s   |
|    Write    |    8192k     |     1024k      |      3      |     1      |  0.000804s   |
|    Write    |    8192k     |     1024k      |      4      |     1      |  0.000811s   |
|    Write    |    8192k     |     1024k      |      5      |     1      |  0.000806s   |
|    Write    |    8192k     |     1024k      |      6      |     1      |  0.000803s   |
|    Write    |    8192k     |     1024k      |      7      |     1      |  0.000802s   |
| Total_Write |    8192k     |     1024k      |      8      |     1      | 0.000842125s |
|     Read    |    8192k     |     1024k      |      8      |     0      |  0.120001s   |
|  Total_Read |    1024k     |     1024k      |      8      |     1      |  0.120001s   |
|  AIO_Write  |    8192k     |     1024k      |      8      |     1      |  0.186466s   |
|   AIO_Read  |    8192k     |     1024k      |      8      |     1      |  0.207497s   |
|  MMap_Write |    8192k     |     1024k      |      8      |     1      |   0.2723s    |
|  MMap_Read  |    8192k     |     1024k      |      8      |     1      |  0.257291s   |
| UMmap_Write |    8192k     |     1024k      |      8      |     1      |  0.201923s   |
|  UMmap_Read |    8192k     |     1024k      |      8      |     1      |  0.450263s   |
|    Write    |    8192k     |     1024k      |      0      |     4      |  0.000609s   |
|    Write    |    8192k     |     1024k      |      1      |     4      |  0.000911s   |
|    Write    |    8192k     |     1024k      |      2      |     4      |  0.001075s   |
|    Write    |    8192k     |     1024k      |      3      |     4      |  0.000863s   |
|    Write    |    8192k     |     1024k      |      4      |     4      |  0.001087s   |
|    Write    |    8192k     |     1024k      |      5      |     4      |  0.000843s   |
|    Write    |    8192k     |     1024k      |      6      |     4      |  0.001054s   |
|    Write    |    8192k     |     1024k      |      7      |     4      |  0.000853s   |
| Total_Write |    8192k     |     1024k      |      8      |     4      | 0.000911875s |
|     Read    |    8192k     |     1024k      |      8      |     0      |  0.116843s   |
|     Read    |    8192k     |     1024k      |      8      |     1      |  0.026567s   |
|     Read    |    8192k     |     1024k      |      8      |     2      |  0.014148s   |
|     Read    |    8192k     |     1024k      |      8      |     3      |  0.014298s   |
|  Total_Read |    4096k     |     1024k      |      8      |     4      |  0.042964s   |
|  AIO_Write  |    8192k     |     1024k      |      8      |     4      |  0.251838s   |
|   AIO_Read  |    8192k     |     1024k      |      8      |     4      |   0.18194s   |
|  MMap_Write |    8192k     |     1024k      |      8      |     4      |  0.197145s   |
|  MMap_Read  |    8192k     |     1024k      |      8      |     4      |  0.302774s   |
| UMmap_Write |    8192k     |     1024k      |      8      |     4      |  0.380241s   |
|  UMmap_Read |    8192k     |     1024k      |      8      |     4      |  0.398222s   |
|    Write    |    8192k     |     1024k      |      0      |     8      |  0.000542s   |
|    Write    |    8192k     |     1024k      |      1      |     8      |  0.000926s   |
|    Write    |    8192k     |     1024k      |      2      |     8      |  0.000746s   |
|    Write    |    8192k     |     1024k      |      3      |     8      |  0.000597s   |
|    Write    |    8192k     |     1024k      |      4      |     8      |  0.000553s   |
|    Write    |    8192k     |     1024k      |      5      |     8      |   0.00061s   |
|    Write    |    8192k     |     1024k      |      6      |     8      |  0.000553s   |
|    Write    |    8192k     |     1024k      |      7      |     8      |  0.000566s   |
| Total_Write |    8192k     |     1024k      |      8      |     8      | 0.000636625s |
|     Read    |    8192k     |     1024k      |      8      |     0      |   0.25974s   |
|     Read    |    8192k     |     1024k      |      8      |     1      |  0.148671s   |
|     Read    |    8192k     |     1024k      |      8      |     2      |  0.058694s   |
|     Read    |    8192k     |     1024k      |      8      |     3      |  0.103202s   |
|     Read    |    8192k     |     1024k      |      8      |     4      |  0.158655s   |
|     Read    |    8192k     |     1024k      |      8      |     5      |  0.103116s   |
|     Read    |    8192k     |     1024k      |      8      |     6      |  0.036396s   |
|     Read    |    8192k     |     1024k      |      8      |     7      |  0.092042s   |
|  Total_Read |    8192k     |     1024k      |      8      |     8      |  0.120064s   |
|  AIO_Write  |    8192k     |     1024k      |      8      |     8      |  0.107015s   |
|   AIO_Read  |    8192k     |     1024k      |      8      |     8      |   0.2713s    |
|  MMap_Write |    8192k     |     1024k      |      8      |     8      |  0.472076s   |
|  MMap_Read  |    8192k     |     1024k      |      8      |     8      |  0.212543s   |
| UMmap_Write |    8192k     |     1024k      |      8      |     8      |  0.190277s   |
|  UMmap_Read |    8192k     |     1024k      |      8      |     8      |  0.646144s   |
|    Write    |    10240k    |     1024k      |      0      |     1      |  0.000593s   |
|    Write    |    10240k    |     1024k      |      1      |     1      |  0.001196s   |
|    Write    |    10240k    |     1024k      |      2      |     1      |  0.000891s   |
|    Write    |    10240k    |     1024k      |      3      |     1      |  0.001568s   |
|    Write    |    10240k    |     1024k      |      4      |     1      |  0.000837s   |
|    Write    |    10240k    |     1024k      |      5      |     1      |  0.000814s   |
|    Write    |    10240k    |     1024k      |      6      |     1      |  0.000977s   |
|    Write    |    10240k    |     1024k      |      7      |     1      |  0.000973s   |
|    Write    |    10240k    |     1024k      |      8      |     1      |  0.000808s   |
|    Write    |    10240k    |     1024k      |      9      |     1      |  0.000788s   |
| Total_Write |    10240k    |     1024k      |      10     |     1      |  0.0009445s  |
|     Read    |    10240k    |     1024k      |      10     |     0      |  0.471885s   |
|  Total_Read |    1024k     |     1024k      |      10     |     1      |  0.471885s   |
|  AIO_Write  |    10240k    |     1024k      |      10     |     1      |  0.505961s   |
|   AIO_Read  |    10240k    |     1024k      |      10     |     1      |  0.249785s   |
|  MMap_Write |    10240k    |     1024k      |      10     |     1      |  0.400264s   |
|  MMap_Read  |    10240k    |     1024k      |      10     |     1      |  0.066989s   |
| UMmap_Write |    10240k    |     1024k      |      10     |     1      |  0.267621s   |
|  UMmap_Read |    10240k    |     1024k      |      10     |     1      |  0.333617s   |
|    Write    |    10240k    |     1024k      |      0      |     4      |  0.000626s   |
|    Write    |    10240k    |     1024k      |      1      |     4      |  0.000988s   |
|    Write    |    10240k    |     1024k      |      2      |     4      |  0.000718s   |
|    Write    |    10240k    |     1024k      |      3      |     4      |  0.000755s   |
|    Write    |    10240k    |     1024k      |      4      |     4      |  0.000976s   |
|    Write    |    10240k    |     1024k      |      5      |     4      |  0.001202s   |
|    Write    |    10240k    |     1024k      |      6      |     4      |  0.001339s   |
|    Write    |    10240k    |     1024k      |      7      |     4      |  0.001011s   |
|    Write    |    10240k    |     1024k      |      8      |     4      |   0.00075s   |
|    Write    |    10240k    |     1024k      |      9      |     4      |  0.000598s   |
| Total_Write |    10240k    |     1024k      |      10     |     4      |  0.0008963s  |
|     Read    |    10240k    |     1024k      |      10     |     0      |  0.106987s   |
|     Read    |    10240k    |     1024k      |      10     |     1      |  0.019899s   |
|     Read    |    10240k    |     1024k      |      10     |     2      |  0.013813s   |
|     Read    |    10240k    |     1024k      |      10     |     3      |  0.013827s   |
|  Total_Read |    4096k     |     1024k      |      10     |     4      |  0.0386315s  |
|  AIO_Write  |    10240k    |     1024k      |      10     |     4      |  0.189852s   |
|   AIO_Read  |    10240k    |     1024k      |      10     |     4      |  0.165094s   |
|  MMap_Write |    10240k    |     1024k      |      10     |     4      |  0.312607s   |
|  MMap_Read  |    10240k    |     1024k      |      10     |     4      |  0.227269s   |
| UMmap_Write |    10240k    |     1024k      |      10     |     4      |  0.327015s   |
|  UMmap_Read |    10240k    |     1024k      |      10     |     4      |   1.05994s   |
|    Write    |    10240k    |     1024k      |      0      |     8      |   0.00051s   |
|    Write    |    10240k    |     1024k      |      1      |     8      |  0.001808s   |
|    Write    |    10240k    |     1024k      |      2      |     8      |  0.001525s   |
|    Write    |    10240k    |     1024k      |      3      |     8      |  0.001777s   |
|    Write    |    10240k    |     1024k      |      4      |     8      |  0.001451s   |
|    Write    |    10240k    |     1024k      |      5      |     8      |  0.001621s   |
|    Write    |    10240k    |     1024k      |      6      |     8      |  0.001311s   |
|    Write    |    10240k    |     1024k      |      7      |     8      |  0.001555s   |
|    Write    |    10240k    |     1024k      |      8      |     8      |  0.001687s   |
|    Write    |    10240k    |     1024k      |      9      |     8      |  0.001487s   |
| Total_Write |    10240k    |     1024k      |      10     |     8      |  0.0014732s  |
|     Read    |    10240k    |     1024k      |      10     |     0      |  0.288286s   |
|     Read    |    10240k    |     1024k      |      10     |     1      |   0.10886s   |
|     Read    |    10240k    |     1024k      |      10     |     2      |  0.035955s   |
|     Read    |    10240k    |     1024k      |      10     |     3      |  0.013813s   |
|     Read    |    10240k    |     1024k      |      10     |     4      |  0.015753s   |
|     Read    |    10240k    |     1024k      |      10     |     5      |  0.013858s   |
|     Read    |    10240k    |     1024k      |      10     |     6      |  0.013832s   |
|     Read    |    10240k    |     1024k      |      10     |     7      |  0.013818s   |
|  Total_Read |    8192k     |     1024k      |      10     |     8      |  0.0630219s  |
|  AIO_Write  |    10240k    |     1024k      |      10     |     8      |   0.13649s   |
|   AIO_Read  |    10240k    |     1024k      |      10     |     8      |  0.597592s   |
|  MMap_Write |    10240k    |     1024k      |      10     |     8      |  0.383302s   |
|  MMap_Read  |    10240k    |     1024k      |      10     |     8      |  0.212608s   |
| UMmap_Write |    10240k    |     1024k      |      10     |     8      |  0.328114s   |
|  UMmap_Read |    10240k    |     1024k      |      10     |     8      |  0.502923s   |
|    Write    |    10240k    |     1024k      |      0      |     10     |  0.000592s   |
|    Write    |    10240k    |     1024k      |      1      |     10     |  0.001024s   |
|    Write    |    10240k    |     1024k      |      2      |     10     |  0.000652s   |
|    Write    |    10240k    |     1024k      |      3      |     10     |   0.00061s   |
|    Write    |    10240k    |     1024k      |      4      |     10     |  0.000555s   |
|    Write    |    10240k    |     1024k      |      5      |     10     |  0.000581s   |
|    Write    |    10240k    |     1024k      |      6      |     10     |  0.000551s   |
|    Write    |    10240k    |     1024k      |      7      |     10     |  0.000571s   |
|    Write    |    10240k    |     1024k      |      8      |     10     |  0.000564s   |
|    Write    |    10240k    |     1024k      |      9      |     10     |  0.000531s   |
| Total_Write |    10240k    |     1024k      |      10     |     10     |  0.0006231s  |
|     Read    |    10240k    |     1024k      |      10     |     0      |  0.027977s   |
|     Read    |    10240k    |     1024k      |      10     |     1      |  0.042133s   |
|     Read    |    10240k    |     1024k      |      10     |     2      |  0.047152s   |
|     Read    |    10240k    |     1024k      |      10     |     3      |  0.024837s   |
|     Read    |    10240k    |     1024k      |      10     |     4      |  0.037995s   |
|     Read    |    10240k    |     1024k      |      10     |     5      |  0.013807s   |
|     Read    |    10240k    |     1024k      |      10     |     6      |  0.013938s   |
|     Read    |    10240k    |     1024k      |      10     |     7      |  0.013644s   |
|     Read    |    10240k    |     1024k      |      10     |     8      |  0.021708s   |
|     Read    |    10240k    |     1024k      |      10     |     9      |  0.016828s   |
|  Total_Read |    10240k    |     1024k      |      10     |     10     |  0.0260019s  |
|  AIO_Write  |    10240k    |     1024k      |      10     |     10     |  0.715567s   |
|   AIO_Read  |    10240k    |     1024k      |      10     |     10     |  0.687149s   |
|  MMap_Write |    10240k    |     1024k      |      10     |     10     |  0.421159s   |
|  MMap_Read  |    10240k    |     1024k      |      10     |     10     |  0.291844s   |
| UMmap_Write |    10240k    |     1024k      |      10     |     10     |  0.347445s   |
