I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
Write		49152		6		1		0.137038s
Read		8192		6		1		0.008133s
AIO_Write		49152		6		1		0.351395s
AIO_Read		8192		6		1		0.007555s
MMap_Write		49152		6		1		0.141028s
MMap_Read		8192		6		1		0.015166s
UMmap_Write		49152		6		1		0.071625s
UMmap_Read		8192		6		1		0.073036s
Write		49152		6		2		0.147869s
Read		16384		6		2		0.020024s
AIO_Write		49152		6		2		0.555199s
AIO_Read		16384		6		2		0.019957s
MMap_Write		49152		6		2		0.121112s
MMap_Read		16384		6		2		0.019792s
UMmap_Write		49152		6		2		0.077842s
UMmap_Read		16384		6		2		0.058749s
Write		49152		6		4		0.121973s
Read		32768		6		4		0.022881s
AIO_Write		49152		6		4		0.533421s
AIO_Read		32768		6		4		0.070476s
MMap_Write		49152		6		4		0.132301s
MMap_Read		32768		6		4		0.025682s
UMmap_Write		49152		6		4		0.065439s
UMmap_Read		32768		6		4		0.077222s
Write		49152		6		6		0.143269s
Read		49152		6		6		0.032213s
AIO_Write		49152		6		6		0.524888s
AIO_Read		49152		6		6		0.085333s
MMap_Write		49152		6		6		0.138206s
MMap_Read		49152		6		6		0.027495s
UMmap_Write		49152		6		6		0.058251s
UMmap_Read		49152		6		6		0.081016s
Write		65536		8		1		0.149823s
Read		8192		8		1		0.014493s
AIO_Write		65536		8		1		0.377883s
AIO_Read		8192		8		1		0.00865s
MMap_Write		65536		8		1		0.090739s
MMap_Read		8192		8		1		0.013493s
UMmap_Write		65536		8		1		0.060123s
UMmap_Read		8192		8		1		0.052172s
Write		65536		8		2		0.108393s
Read		16384		8		2		0.009696s
AIO_Write		65536		8		2		0.373025s
AIO_Read		16384		8		2		0.036592s
MMap_Write		65536		8		2		0.12922s
MMap_Read		16384		8		2		0.014741s
UMmap_Write		65536		8		2		0.069383s
UMmap_Read		16384		8		2		0.069409s
Write		65536		8		4		0.149085s
Read		32768		8		4		0.021517s
AIO_Write		65536		8		4		0.504741s
AIO_Read		32768		8		4		0.048233s
MMap_Write		65536		8		4		0.090806s
MMap_Read		32768		8		4		0.0178s
UMmap_Write		65536		8		4		0.069615s
UMmap_Read		32768		8		4		0.054466s
Write		65536		8		6		0.113944s
Read		49152		8		6		0.018071s
AIO_Write		65536		8		6		0.396677s
AIO_Read		49152		8		6		0.046583s
MMap_Write		65536		8		6		0.088355s
MMap_Read		49152		8		6		0.020051s
UMmap_Write		65536		8		6		0.06009s
UMmap_Read		49152		8		6		0.080813s
Write		65536		8		8		0.106852s
Read		65536		8		8		0.029098s
AIO_Write		65536		8		8		0.39459s
AIO_Read		65536		8		8		0.060382s
MMap_Write		65536		8		8		0.097975s
MMap_Read		65536		8		8		0.021197s
UMmap_Write		65536		8		8		0.059923s
UMmap_Read		65536		8		8		0.078974s
Write		81920		10		1		0.128452s
Read		8192		10		1		0.007918s
MMap_Write		81920		10		1		0.097409s
MMap_Read		8192		10		1		0.014066s
UMmap_Write		81920		10		1		0.053566s
UMmap_Read		8192		10		1		0.055163s
Write		81920		10		2		0.123256s
Read		16384		10		2		0.010605s
MMap_Write		81920		10		2		0.086729s
MMap_Read		16384		10		2		0.013824s
UMmap_Write		81920		10		2		0.054561s
UMmap_Read		16384		10		2		0.062841s
Write		81920		10		4		0.124366s
Read		32768		10		4		0.013921s
MMap_Write		81920		10		4		0.089987s
MMap_Read		32768		10		4		0.017445s
UMmap_Write		81920		10		4		0.052925s
UMmap_Read		32768		10		4		0.062157s
Write		81920		10		6		0.121163s
Read		49152		10		6		0.017511s
MMap_Write		81920		10		6		0.093138s
MMap_Read		49152		10		6		0.020679s
UMmap_Write		81920		10		6		0.058168s
UMmap_Read		49152		10		6		0.054769s
Write		81920		10		8		0.126732s
Read		65536		10		8		0.022225s
MMap_Write		81920		10		8		0.097674s
MMap_Read		65536		10		8		0.021967s
UMmap_Write		81920		10		8		0.070058s
UMmap_Read		65536		10		8		0.064364s
Write		81920		10		10		0.123924s
Read		81920		10		10		0.029521s
MMap_Write		81920		10		10		0.098133s
MMap_Read		81920		10		10		0.023035s
UMmap_Write		81920		10		10		0.055742s
UMmap_Read		81920		10		10		0.076566s
Write		16384		1		1		0.084309s
Read		16384		1		1		0.01205s
AIO_Write		16384		1		1		0.099984s
AIO_Read		16384		1		1		0.030122s
MMap_Write		16384		1		1		0.168045s
MMap_Read		16384		1		1		0.032155s
UMmap_Write		16384		1		1		0.099974s
UMmap_Read		16384		1		1		0.114457s
Write		32768		2		1		0.118324s
Read		16384		2		1		0.012938s
AIO_Write		32768		2		1		0.209204s
AIO_Read		16384		2		1		0.013539s
MMap_Write		32768		2		1		0.196331s
MMap_Read		16384		2		1		0.032107s
UMmap_Write		32768		2		1		0.085065s
UMmap_Read		16384		2		1		0.089273s
Write		32768		2		2		0.097814s
Read		32768		2		2		0.017872s
AIO_Write		32768		2		2		0.188346s
AIO_Read		32768		2		2		0.068387s
MMap_Write		32768		2		2		0.216545s
MMap_Read		32768		2		2		0.025523s
UMmap_Write		32768		2		2		0.09118s
UMmap_Read		32768		2		2		0.097279s
Write		65536		4		1		0.124251s
Read		16384		4		1		0.008765s
AIO_Write		65536		4		1		0.450328s
AIO_Read		16384		4		1		0.003255s
MMap_Write		65536		4		1		0.153565s
MMap_Read		16384		4		1		0.021191s
UMmap_Write		65536		4		1		0.091746s
UMmap_Read		16384		4		1		0.085561s
Write		65536		4		2		0.126932s
Read		32768		4		2		0.016815s
AIO_Write		65536		4		2		0.341332s
AIO_Read		32768		4		2		0.044262s
MMap_Write		65536		4		2		0.146819s
MMap_Read		32768		4		2		0.025834s
UMmap_Write		65536		4		2		0.082031s
UMmap_Read		32768		4		2		0.098594s
Write		65536		4		4		0.121641s
Read		65536		4		4		0.024656s
AIO_Write		65536		4		4		0.363895s
AIO_Read		65536		4		4		0.06562s
MMap_Write		65536		4		4		0.143168s
MMap_Read		65536		4		4		0.030072s
UMmap_Write		65536		4		4		0.092463s
UMmap_Read		65536		4		4		0.102153s
MMap_Write		98304		6		1		0.15453s
MMap_Read		16384		6		1		0.024073s
UMmap_Write		98304		6		1		0.118398s
UMmap_Read		16384		6		1		0.114652s
MMap_Write		98304		6		2		0.158422s
MMap_Read		32768		6		2		0.027134s
UMmap_Write		98304		6		2		0.099328s
UMmap_Read		32768		6		2		0.112781s
MMap_Write		98304		6		4		0.169994s
MMap_Read		65536		6		4		0.048356s
UMmap_Write		98304		6		4		0.085153s
UMmap_Read		65536		6		4		0.092907s
MMap_Write		98304		6		6		0.210275s
MMap_Read		98304		6		6		0.032745s
UMmap_Write		98304		6		6		0.111834s
UMmap_Read		98304		6		6		0.141383s
MMap_Write		131072		8		1		0.166441s
MMap_Read		16384		8		1		0.038082s
UMmap_Write		131072		8		1		0.107581s
UMmap_Read		16384		8		1		0.110696s
MMap_Write		131072		8		2		0.26248s
MMap_Read		32768		8		2		0.040091s
UMmap_Write		131072		8		2		0.126973s
UMmap_Read		32768		8		2		0.116504s
MMap_Write		131072		8		4		0.153569s
MMap_Read		65536		8		4		0.029607s
UMmap_Write		131072		8		4		0.114435s
UMmap_Read		65536		8		4		0.126051s
MMap_Write		131072		8		6		0.23973s
MMap_Read		98304		8		6		0.0431s
UMmap_Write		131072		8		6		0.096531s
UMmap_Read		98304		8		6		0.129815s
MMap_Write		131072		8		8		0.150249s
MMap_Read		131072		8		8		0.037358s
UMmap_Write		131072		8		8		0.096022s
UMmap_Read		131072		8		8		0.13433s
MMap_Write		163840		10		1		0.199802s
MMap_Read		16384		10		1		0.034083s
UMmap_Write		163840		10		1		0.130794s
UMmap_Read		16384		10		1		0.110064s
MMap_Write		163840		10		2		0.161061s
MMap_Read		32768		10		2		0.038512s
UMmap_Write		163840		10		2		0.113792s
UMmap_Read		32768		10		2		0.115187s
MMap_Write		163840		10		4		0.1753s
MMap_Read		65536		10		4		0.049078s
UMmap_Write		163840		10		4		0.106171s
UMmap_Read		65536		10		4		0.123628s
MMap_Write		163840		10		6		0.20945s
MMap_Read		98304		10		6		0.051334s
UMmap_Write		163840		10		6		0.129349s
UMmap_Read		98304		10		6		0.134939s
MMap_Write		163840		10		8		0.159775s
MMap_Read		131072		10		8		0.038333s
UMmap_Write		163840		10		8		0.13071s
UMmap_Read		131072		10		8		0.135467s
MMap_Write		163840		10		10		0.177122s
MMap_Read		163840		10		10		0.071234s
UMmap_Write		163840		10		10		0.145635s
UMmap_Read		163840		10		10		0.132187s
