I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
Write		8		1		1		8.5e-05s
Read		8		1		1		5e-06s
AIO_Write		8		1		1		0.006644s
AIO_Read		8		1		1		0.008889s
MMap_Write		8		1		1		0.005447s
MMap_Read		8		1		1		0.000168s
UMmap_Write		8		1		1		0.007784s
UMmap_Read		8		1		1		0.009616s
Write		16		2		1		9.9e-05s
Read		8		2		1		5e-06s
AIO_Write		16		2		1		0.01017s
AIO_Read		8		2		1		4.3e-05s
MMap_Write		16		2		1		0.004967s
MMap_Read		8		2		1		0.00013s
UMmap_Write		16		2		1		0.009626s
UMmap_Read		8		2		1		0.011565s
Write		16		2		2		8.6e-05s
Read		16		2		2		6e-06s
AIO_Write		16		2		2		0.020503s
AIO_Read		16		2		2		3.9e-05s
MMap_Write		16		2		2		0.004365s
MMap_Read		16		2		2		0.000163s
UMmap_Write		16		2		2		0.007515s
UMmap_Read		16		2		2		0.00969s
Write		32		4		1		0.000101s
Read		8		4		1		6e-06s
AIO_Write		32		4		1		0.01201s
AIO_Read		8		4		1		6.8e-05s
MMap_Write		32		4		1		0.007053s
MMap_Read		8		4		1		0.000108s
UMmap_Write		32		4		1		0.008447s
UMmap_Read		8		4		1		0.009131s
Write		32		4		2		0.000129s
Read		16		4		2		9e-06s
AIO_Write		32		4		2		0.010737s
AIO_Read		16		4		2		5e-05s
MMap_Write		32		4		2		0.00505s
MMap_Read		16		4		2		0.000159s
UMmap_Write		32		4		2		0.009523s
UMmap_Read		16		4		2		0.007568s
Write		32		4		4		0.000125s
Read		32		4		4		1.8e-05s
AIO_Write		32		4		4		0.014324s
AIO_Read		32		4		4		4.4e-05s
MMap_Write		32		4		4		0.00478s
MMap_Read		32		4		4		0.000157s
UMmap_Write		32		4		4		0.016221s
UMmap_Read		32		4		4		0.00909s
Write		48		6		1		0.000118s
Read		8		6		1		6e-06s
AIO_Write		48		6		1		0.015622s
AIO_Read		8		6		1		4.4e-05s
MMap_Write		48		6		1		0.005367s
MMap_Read		8		6		1		0.000121s
UMmap_Write		48		6		1		0.009019s
UMmap_Read		8		6		1		0.008444s
Write		48		6		2		0.000123s
Read		16		6		2		6e-06s
AIO_Write		48		6		2		0.015647s
AIO_Read		16		6		2		5.5e-05s
MMap_Write		48		6		2		0.005639s
MMap_Read		16		6		2		0.000197s
UMmap_Write		48		6		2		0.010985s
UMmap_Read		16		6		2		0.010641s
Write		48		6		4		0.000137s
Read		32		6		4		1e-05s
AIO_Write		48		6		4		0.015092s
AIO_Read		32		6		4		5.7e-05s
MMap_Write		48		6		4		0.004837s
MMap_Read		32		6		4		0.000111s
UMmap_Write		48		6		4		0.007812s
UMmap_Read		32		6		4		0.01002s
Write		48		6		6		0.000117s
Read		48		6		6		1.3e-05s
AIO_Write		48		6		6		0.011631s
AIO_Read		48		6		6		5.9e-05s
MMap_Write		48		6		6		0.004881s
MMap_Read		48		6		6		0.00013s
UMmap_Write		48		6		6		0.006701s
UMmap_Read		48		6		6		0.008509s
Write		64		8		1		0.000119s
Read		8		8		1		5e-06s
AIO_Write		64		8		1		0.019125s
AIO_Read		8		8		1		4.6e-05s
MMap_Write		64		8		1		0.003463s
MMap_Read		8		8		1		0.000185s
UMmap_Write		64		8		1		0.008218s
UMmap_Read		8		8		1		0.008468s
Write		64		8		2		0.00012s
Read		16		8		2		7e-06s
AIO_Write		64		8		2		0.007467s
AIO_Read		16		8		2		0.005834s
MMap_Write		64		8		2		0.006046s
MMap_Read		16		8		2		0.00014s
UMmap_Write		64		8		2		0.011261s
UMmap_Read		16		8		2		0.007815s
Write		64		8		4		0.000169s
Read		32		8		4		1.3e-05s
AIO_Write		64		8		4		0.004752s
AIO_Read		32		8		4		0.008395s
MMap_Write		64		8		4		0.006798s
MMap_Read		32		8		4		0.000134s
UMmap_Write		64		8		4		0.009298s
UMmap_Read		32		8		4		0.009333s
Write		64		8		6		0.000133s
Read		48		8		6		1.3e-05s
AIO_Write		64		8		6		0.007759s
AIO_Read		48		8		6		6.3e-05s
MMap_Write		64		8		6		0.005557s
MMap_Read		48		8		6		0.000125s
UMmap_Write		64		8		6		0.009029s
UMmap_Read		48		8		6		0.008985s
Write		64		8		8		0.000121s
Read		64		8		8		1.5e-05s
AIO_Write		64		8		8		0.012624s
AIO_Read		64		8		8		0.000139s
MMap_Write		64		8		8		0.00532s
MMap_Read		64		8		8		0.000132s
UMmap_Write		64		8		8		0.011081s
UMmap_Read		64		8		8		0.012087s
Write		80		10		1		0.000157s
Read		8		10		1		7e-06s
AIO_Write		80		10		1		0.012597s
AIO_Read		8		10		1		4.6e-05s
MMap_Write		80		10		1		0.005117s
MMap_Read		8		10		1		0.000112s
UMmap_Write		80		10		1		0.00652s
UMmap_Read		8		10		1		0.010443s
Write		80		10		2		0.000293s
Read		16		10		2		8e-06s
AIO_Write		80		10		2		0.013065s
AIO_Read		16		10		2		5.7e-05s
MMap_Write		80		10		2		0.00791s
MMap_Read		16		10		2		0.000138s
UMmap_Write		80		10		2		0.009704s
UMmap_Read		16		10		2		0.009013s
Write		80		10		4		0.000145s
Read		32		10		4		1.1e-05s
AIO_Write		80		10		4		0.015746s
AIO_Read		32		10		4		6.6e-05s
MMap_Write		80		10		4		0.007384s
MMap_Read		32		10		4		0.00014s
UMmap_Write		80		10		4		0.008953s
UMmap_Read		32		10		4		0.011161s
Write		80		10		6		0.00016s
Read		48		10		6		1.4e-05s
AIO_Write		80		10		6		0.010035s
AIO_Read		48		10		6		0.000268s
MMap_Write		80		10		6		0.005608s
MMap_Read		48		10		6		0.000827s
UMmap_Write		80		10		6		0.01184s
UMmap_Read		48		10		6		0.013564s
Write		80		10		8		0.000136s
Read		64		10		8		1.6e-05s
AIO_Write		80		10		8		0.006634s
AIO_Read		64		10		8		0.007637s
MMap_Write		80		10		8		0.007953s
MMap_Read		64		10		8		0.00024s
UMmap_Write		80		10		8		0.007704s
UMmap_Read		64		10		8		0.00982s
Write		80		10		10		0.000137s
Read		80		10		10		1.7e-05s
AIO_Write		80		10		10		0.017055s
AIO_Read		80		10		10		7.5e-05s
MMap_Write		80		10		10		0.006407s
MMap_Read		80		10		10		0.000126s
UMmap_Write		80		10		10		0.00857s
UMmap_Read		80		10		10		0.008631s
Write		64		1		1		0.000308s
Read		64		1		1		1.1e-05s
AIO_Write		64		1		1		0.016468s
AIO_Read		64		1		1		8.2e-05s
MMap_Write		64		1		1		0.005882s
MMap_Read		64		1		1		0.000213s
UMmap_Write		64		1		1		0.011574s
UMmap_Read		64		1		1		0.011069s
Write		128		2		1		0.006467s
Read		64		2		1		2e-05s
AIO_Write		128		2		1		0.003013s
AIO_Read		64		2		1		0.008343s
MMap_Write		128		2		1		0.007515s
MMap_Read		64		2		1		0.000174s
UMmap_Write		128		2		1		0.011042s
UMmap_Read		64		2		1		0.012465s
Write		128		2		2		0.002325s
Read		128		2		2		2.6e-05s
AIO_Write		128		2		2		0.012867s
AIO_Read		128		2		2		0.000228s
MMap_Write		128		2		2		0.005799s
MMap_Read		128		2		2		0.000376s
UMmap_Write		128		2		2		0.008135s
UMmap_Read		128		2		2		0.009073s
Write		256		4		1		0.000476s
Read		64		4		1		1.2e-05s
AIO_Write		256		4		1		0.007576s
AIO_Read		64		4		1		0.002528s
MMap_Write		256		4		1		0.005166s
MMap_Read		64		4		1		0.000231s
UMmap_Write		256		4		1		0.007961s
UMmap_Read		64		4		1		0.00932s
Write		256		4		2		0.000429s
Read		128		4		2		2.2e-05s
AIO_Write		256		4		2		0.013741s
AIO_Read		128		4		2		0.000144s
MMap_Write		256		4		2		0.005159s
MMap_Read		128		4		2		0.000475s
UMmap_Write		256		4		2		0.012206s
UMmap_Read		128		4		2		0.008351s
Write		256		4		4		0.000427s
Read		256		4		4		3.8e-05s
AIO_Write		256		4		4		0.009844s
AIO_Read		256		4		4		0.000601s
MMap_Write		256		4		4		0.008313s
MMap_Read		256		4		4		0.000179s
UMmap_Write		256		4		4		0.010695s
UMmap_Read		256		4		4		0.009109s
Write		384		6		1		0.000504s
Read		64		6		1		1.3e-05s
AIO_Write		384		6		1		0.016059s
AIO_Read		64		6		1		0.000116s
MMap_Write		384		6		1		0.006084s
MMap_Read		64		6		1		0.000248s
UMmap_Write		384		6		1		0.010761s
UMmap_Read		64		6		1		0.009308s
Write		384		6		2		0.000478s
Read		128		6		2		1.7e-05s
AIO_Write		384		6		2		0.013916s
AIO_Read		128		6		2		0.000131s
MMap_Write		384		6		2		0.006812s
MMap_Read		128		6		2		0.000443s
UMmap_Write		384		6		2		0.007205s
UMmap_Read		128		6		2		0.012153s
Write		384		6		4		0.000502s
Read		256		6		4		4e-05s
AIO_Write		384		6		4		0.017639s
AIO_Read		256		6		4		0.000341s
MMap_Write		384		6		4		0.006186s
MMap_Read		256		6		4		0.000204s
UMmap_Write		384		6		4		0.015056s
UMmap_Read		256		6		4		0.00923s
Write		384		6		6		0.00058s
Read		384		6		6		0.003521s
AIO_Write		384		6		6		0.010192s
AIO_Read		384		6		6		0.000389s
MMap_Write		384		6		6		0.004153s
MMap_Read		384		6		6		0.000206s
UMmap_Write		384		6		6		0.005631s
UMmap_Read		384		6		6		0.009126s
Write		512		8		1		0.000586s
Read		64		8		1		1.4e-05s
AIO_Write		512		8		1		0.008822s
AIO_Read		64		8		1		0.019032s
MMap_Write		512		8		1		0.007989s
MMap_Read		64		8		1		0.000261s
UMmap_Write		512		8		1		0.007302s
UMmap_Read		64		8		1		0.011196s
Write		512		8		2		0.000571s
Read		128		8		2		2.3e-05s
AIO_Write		512		8		2		0.01385s
AIO_Read		128		8		2		0.009188s
MMap_Write		512		8		2		0.006207s
MMap_Read		128		8		2		0.000214s
UMmap_Write		512		8		2		0.007744s
UMmap_Read		128		8		2		0.011523s
Write		512		8		4		0.000587s
Read		256		8		4		5.1e-05s
AIO_Write		512		8		4		0.015131s
AIO_Read		256		8		4		0.000313s
MMap_Write		512		8		4		0.007359s
MMap_Read		256		8		4		0.000199s
UMmap_Write		512		8		4		0.007097s
UMmap_Read		256		8		4		0.011636s
Write		512		8		6		0.002728s
Read		384		8		6		8.6e-05s
AIO_Write		512		8		6		0.016352s
AIO_Read		384		8		6		0.000432s
MMap_Write		512		8		6		0.007317s
MMap_Read		384		8		6		0.00019s
