+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_KB | Buffer_size_KB | Write_Count | Read_Count | Time_Taken_s |
|     Read    |      8k      |       1k       |      8      |     4      |      0s      |
|     Read    |      8k      |       1k       |      8      |     5      |      0s      |
|     Read    |      8k      |       1k       |      8      |     6      |      0s      |
|     Read    |      8k      |       1k       |      8      |     7      |      0s      |
|  Total_Read |      8k      |       1k       |      8      |     8      |  1.25e-07s   |
|  AIO_Write  |      8k      |       1k       |      8      |     8      |  0.009537s   |
|   AIO_Read  |      8k      |       1k       |      8      |     8      |   4.1e-05s   |
|  MMap_Write |      8k      |       1k       |      8      |     8      |  0.006493s   |
|  MMap_Read  |      8k      |       1k       |      8      |     8      |  0.000105s   |
| UMmap_Write |      8k      |       1k       |      8      |     8      |  0.007692s   |
|  UMmap_Read |      8k      |       1k       |      8      |     8      |  0.008424s   |
|    Write    |     10k      |       1k       |      0      |     1      |   1.9e-05s   |
|    Write    |     10k      |       1k       |      1      |     1      |    2e-06s    |
|    Write    |     10k      |       1k       |      2      |     1      |    1e-06s    |
|    Write    |     10k      |       1k       |      3      |     1      |    1e-06s    |
|    Write    |     10k      |       1k       |      4      |     1      |    6e-06s    |
|    Write    |     10k      |       1k       |      5      |     1      |    1e-06s    |
|    Write    |     10k      |       1k       |      6      |     1      |    1e-06s    |
|    Write    |     10k      |       1k       |      7      |     1      |    1e-06s    |
|    Write    |     10k      |       1k       |      8      |     1      |    3e-06s    |
|    Write    |     10k      |       1k       |      9      |     1      |    1e-06s    |
| Total_Write |     10k      |       1k       |      10     |     1      |   3.6e-06s   |
|     Read    |     10k      |       1k       |      10     |     0      |    2e-06s    |
|  Total_Read |      1k      |       1k       |      10     |     1      |    2e-06s    |
|  AIO_Write  |     10k      |       1k       |      10     |     1      |  0.016731s   |
|   AIO_Read  |     10k      |       1k       |      10     |     1      |   8.6e-05s   |
|  MMap_Write |     10k      |       1k       |      10     |     1      |  0.009354s   |
|  MMap_Read  |     10k      |       1k       |      10     |     1      |  0.000106s   |
