I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
MMap_Read,98304,10,6,0.060839s
MMap_Write,131072,8,8,0.260167s
MMap_Read,131072,8,8,0.057414s
MMap_Write,163840,10,8,0.255638s
MMap_Read,131072,10,8,0.059587s
MMap_Write,163840,10,10,0.248376s
MMap_Read,163840,10,10,0.076154s
UMmap_Write,1,1,1,0.006607s
UMmap_Read,1,1,1,0.010062s
UMmap_Write,2,2,1,0.00973s
UMmap_Read,1,2,1,0.008721s
UMmap_Write,4,4,1,0.008781s
UMmap_Read,1,4,1,0.008695s
UMmap_Write,6,6,1,0.008335s
UMmap_Read,1,6,1,0.007222s
UMmap_Write,8,8,1,0.007657s
UMmap_Read,1,8,1,0.008455s
UMmap_Write,10,10,1,0.007433s
UMmap_Read,1,10,1,0.00977s
UMmap_Write,2,2,2,0.008657s
UMmap_Read,2,2,2,0.009006s
UMmap_Write,4,4,2,0.007598s
UMmap_Read,2,4,2,0.009699s
UMmap_Write,6,6,2,0.007923s
UMmap_Read,2,6,2,0.009959s
UMmap_Write,8,8,2,0.011192s
UMmap_Read,2,8,2,0.008141s
UMmap_Write,10,10,2,0.011328s
UMmap_Read,2,10,2,0.009141s
UMmap_Write,4,4,4,0.00751s
UMmap_Read,4,4,4,0.009862s
UMmap_Write,6,6,4,0.007327s
UMmap_Read,4,6,4,0.008904s
UMmap_Write,8,8,4,0.006969s
UMmap_Read,4,8,4,0.007727s
UMmap_Write,10,10,4,0.010232s
UMmap_Read,4,10,4,0.00926s
UMmap_Write,6,6,6,0.010754s
UMmap_Read,6,6,6,0.008989s
UMmap_Write,8,8,6,0.007801s
UMmap_Read,6,8,6,0.007685s
UMmap_Write,10,10,6,0.011245s
UMmap_Read,6,10,6,0.008844s
UMmap_Write,8,8,8,0.009319s
UMmap_Read,8,8,8,0.009806s
UMmap_Write,10,10,8,0.012679s
UMmap_Read,8,10,8,0.011167s
UMmap_Write,10,10,10,0.011056s
UMmap_Read,10,10,10,0.007186s
UMmap_Write,8,1,1,0.007334s
UMmap_Read,8,1,1,0.010345s
UMmap_Write,16,2,1,0.008046s
UMmap_Read,8,2,1,0.00781s
UMmap_Write,32,4,1,0.007314s
UMmap_Read,8,4,1,0.009136s
UMmap_Write,48,6,1,0.012491s
UMmap_Read,8,6,1,0.010174s
UMmap_Write,64,8,1,0.007342s
UMmap_Read,8,8,1,0.009887s
UMmap_Write,80,10,1,0.010075s
UMmap_Read,8,10,1,0.008895s
UMmap_Write,16,2,2,0.017926s
UMmap_Read,16,2,2,0.010979s
UMmap_Write,32,4,2,0.007128s
UMmap_Read,16,4,2,0.008683s
UMmap_Write,48,6,2,0.010748s
UMmap_Read,16,6,2,0.007937s
UMmap_Write,64,8,2,0.007978s
UMmap_Read,16,8,2,0.009232s
UMmap_Write,80,10,2,0.010231s
UMmap_Read,16,10,2,0.011207s
UMmap_Write,32,4,4,0.012015s
UMmap_Read,32,4,4,0.009085s
UMmap_Write,48,6,4,0.009776s
UMmap_Read,32,6,4,0.007915s
UMmap_Write,64,8,4,0.007766s
UMmap_Read,32,8,4,0.007698s
UMmap_Write,80,10,4,0.007378s
UMmap_Read,32,10,4,0.00843s
UMmap_Write,48,6,6,0.008148s
UMmap_Read,48,6,6,0.007876s
UMmap_Write,64,8,6,0.011903s
UMmap_Read,48,8,6,0.008635s
UMmap_Write,80,10,6,0.00762s
UMmap_Read,48,10,6,0.007409s
UMmap_Write,64,8,8,0.006237s
UMmap_Read,64,8,8,0.007301s
UMmap_Write,80,10,8,0.008196s
UMmap_Read,64,10,8,0.006699s
UMmap_Write,80,10,10,0.00867s
UMmap_Read,80,10,10,0.006581s
UMmap_Write,64,1,1,0.007589s
UMmap_Read,64,1,1,0.006398s
UMmap_Write,128,2,1,0.006229s
UMmap_Read,64,2,1,0.008499s
UMmap_Write,256,4,1,0.009467s
UMmap_Read,64,4,1,0.006411s
UMmap_Write,384,6,1,0.011628s
UMmap_Read,64,6,1,0.007251s
UMmap_Write,512,8,1,0.006751s
UMmap_Read,64,8,1,0.006499s
UMmap_Write,640,10,1,0.006801s
UMmap_Read,64,10,1,0.006523s
UMmap_Write,128,2,2,0.00962s
UMmap_Read,128,2,2,0.00793s
UMmap_Write,256,4,2,0.005927s
UMmap_Read,128,4,2,0.006648s
UMmap_Write,384,6,2,0.007422s
UMmap_Read,128,6,2,0.007981s
UMmap_Write,512,8,2,0.007744s
UMmap_Read,128,8,2,0.007184s
UMmap_Write,640,10,2,0.007728s
UMmap_Read,128,10,2,0.007163s
UMmap_Write,256,4,4,0.007334s
UMmap_Read,256,4,4,0.006623s
UMmap_Write,384,6,4,0.008013s
UMmap_Read,256,6,4,0.006651s
UMmap_Write,512,8,4,0.007081s
UMmap_Read,256,8,4,0.006389s
UMmap_Write,640,10,4,0.0082s
UMmap_Read,256,10,4,0.006701s
UMmap_Write,384,6,6,0.008972s
UMmap_Read,384,6,6,0.008125s
UMmap_Write,512,8,6,0.012301s
UMmap_Read,384,8,6,0.006014s
UMmap_Write,640,10,6,0.009175s
UMmap_Read,384,10,6,0.006599s
UMmap_Write,512,8,8,0.007745s
UMmap_Read,512,8,8,0.006507s
UMmap_Write,640,10,8,0.00874s
UMmap_Read,512,10,8,0.006583s
UMmap_Write,640,10,10,0.012079s
UMmap_Read,640,10,10,0.00701s
UMmap_Write,1024,1,1,0.008149s
UMmap_Read,1024,1,1,0.008558s
UMmap_Write,2048,2,1,0.012189s
UMmap_Read,1024,2,1,0.007135s
UMmap_Write,4096,4,1,0.01108s
UMmap_Read,1024,4,1,0.007809s
UMmap_Write,6144,6,1,0.009448s
UMmap_Read,1024,6,1,0.008159s
UMmap_Write,8192,8,1,0.009815s
UMmap_Read,1024,8,1,0.008009s
UMmap_Write,10240,10,1,0.009955s
UMmap_Read,1024,10,1,0.007527s
UMmap_Write,2048,2,2,0.015079s
UMmap_Read,2048,2,2,0.011384s
UMmap_Write,4096,4,2,0.01076s
UMmap_Read,2048,4,2,0.008685s
UMmap_Write,6144,6,2,0.009924s
UMmap_Read,2048,6,2,0.013466s
UMmap_Write,8192,8,2,0.009615s
UMmap_Read,2048,8,2,0.009381s
UMmap_Write,10240,10,2,0.009342s
UMmap_Read,2048,10,2,0.011616s
UMmap_Write,4096,4,4,0.008784s
UMmap_Read,4096,4,4,0.009159s
UMmap_Write,6144,6,4,0.009359s
UMmap_Read,4096,6,4,0.008765s
UMmap_Write,8192,8,4,0.007699s
UMmap_Read,4096,8,4,0.008706s
UMmap_Write,10240,10,4,0.009056s
UMmap_Read,4096,10,4,0.008234s
UMmap_Write,6144,6,6,0.01147s
UMmap_Read,6144,6,6,0.018552s
UMmap_Write,8192,8,6,0.014059s
UMmap_Read,6144,8,6,0.008584s
UMmap_Write,10240,10,6,0.00892s
UMmap_Read,6144,10,6,0.008269s
UMmap_Write,8192,8,8,0.018258s
UMmap_Read,8192,8,8,0.010752s
UMmap_Write,10240,10,8,0.010774s
UMmap_Read,8192,10,8,0.009606s
UMmap_Write,10240,10,10,0.008155s
UMmap_Read,10240,10,10,0.009308s
UMmap_Write,8192,1,1,0.042698s
UMmap_Read,8192,1,1,0.054693s
UMmap_Write,16384,2,1,0.045046s
UMmap_Read,8192,2,1,0.050723s
UMmap_Write,32768,4,1,0.045869s
UMmap_Read,8192,4,1,0.0492s
UMmap_Write,49152,6,1,0.055139s
UMmap_Read,8192,6,1,0.056325s
UMmap_Write,65536,8,1,0.057245s
UMmap_Read,8192,8,1,0.046469s
UMmap_Write,81920,10,1,0.062292s
UMmap_Read,8192,10,1,0.044334s
UMmap_Write,16384,2,2,0.047135s
UMmap_Read,16384,2,2,0.048205s
UMmap_Write,32768,4,2,0.045673s
UMmap_Read,16384,4,2,0.047299s
UMmap_Write,49152,6,2,0.048955s
UMmap_Read,16384,6,2,0.050878s
UMmap_Write,65536,8,2,0.058216s
UMmap_Read,16384,8,2,0.051656s
UMmap_Write,81920,10,2,0.061443s
UMmap_Read,16384,10,2,0.050024s
UMmap_Write,32768,4,4,0.04805s
UMmap_Read,32768,4,4,0.052568s
UMmap_Write,49152,6,4,0.057703s
UMmap_Read,32768,6,4,0.055278s
UMmap_Write,65536,8,4,0.063334s
UMmap_Read,32768,8,4,0.058031s
UMmap_Write,81920,10,4,0.055844s
UMmap_Read,32768,10,4,0.061176s
UMmap_Write,49152,6,6,0.055421s
UMmap_Read,49152,6,6,0.064769s
UMmap_Write,65536,8,6,0.062012s
UMmap_Read,49152,8,6,0.064784s
UMmap_Write,81920,10,6,0.064774s
UMmap_Read,49152,10,6,0.062496s
UMmap_Write,65536,8,8,0.054577s
UMmap_Read,65536,8,8,0.067727s
UMmap_Write,81920,10,8,0.057712s
UMmap_Read,65536,10,8,0.08268s
UMmap_Write,81920,10,10,0.06826s
UMmap_Read,81920,10,10,0.075162s
UMmap_Write,16384,1,1,0.083379s
UMmap_Read,16384,1,1,0.092512s
UMmap_Write,32768,2,1,0.078222s
UMmap_Read,16384,2,1,0.096277s
UMmap_Write,65536,4,1,0.099769s
UMmap_Read,16384,4,1,0.099468s
UMmap_Write,98304,6,1,0.109918s
UMmap_Read,16384,6,1,0.088274s
UMmap_Write,131072,8,1,0.104899s
UMmap_Read,16384,8,1,0.091567s
UMmap_Write,163840,10,1,0.136107s
UMmap_Read,16384,10,1,0.120031s
UMmap_Write,32768,2,2,0.100818s
UMmap_Read,32768,2,2,0.118558s
UMmap_Write,65536,4,2,0.112079s
UMmap_Read,32768,4,2,0.126409s
UMmap_Write,98304,6,2,0.117941s
UMmap_Read,32768,6,2,0.112074s
UMmap_Write,131072,8,2,0.116356s
UMmap_Read,32768,8,2,0.094913s
UMmap_Write,163840,10,2,0.139123s
UMmap_Read,32768,10,2,0.09948s
UMmap_Write,65536,4,4,0.100718s
UMmap_Read,65536,4,4,0.109316s
UMmap_Write,98304,6,4,0.10997s
UMmap_Read,65536,6,4,0.10096s
UMmap_Write,131072,8,4,0.113803s
UMmap_Read,65536,8,4,0.099896s
UMmap_Write,163840,10,4,0.120733s
UMmap_Read,65536,10,4,0.107555s
UMmap_Write,98304,6,6,0.098556s
UMmap_Read,98304,6,6,0.121703s
UMmap_Write,131072,8,6,0.119616s
UMmap_Read,98304,8,6,0.115865s
UMmap_Write,163840,10,6,0.126008s
UMmap_Read,98304,10,6,0.119498s
UMmap_Write,131072,8,8,0.108795s
UMmap_Read,131072,8,8,0.133913s
UMmap_Write,163840,10,8,0.113845s
UMmap_Read,131072,10,8,0.128443s
UMmap_Write,163840,10,10,0.114883s
UMmap_Read,163840,10,10,0.134554s
