I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
Read,64,4,1,1.6e-05s
AIO_Write,256,4,1,0.013738s
AIO_Read,64,4,1,0.000105s
Write,384,6,1,0.000478s
Read,64,6,1,1e-05s
AIO_Write,384,6,1,0.014203s
AIO_Read,64,6,1,0.000128s
Write,512,8,1,0.000625s
Read,64,8,1,1.2e-05s
AIO_Write,512,8,1,0.01619s
AIO_Read,64,8,1,0.000248s
Write,640,10,1,0.000621s
Read,64,10,1,1.3e-05s
AIO_Write,640,10,1,0.019001s
AIO_Read,64,10,1,0.000113s
Write,128,2,2,0.000345s
Read,128,2,2,2e-05s
AIO_Write,128,2,2,0.018476s
AIO_Read,128,2,2,0.000115s
Write,256,4,2,0.000437s
Read,128,4,2,1.6e-05s
AIO_Write,256,4,2,0.029605s
AIO_Read,128,4,2,0.000164s
Write,384,6,2,0.000493s
Read,128,6,2,2.2e-05s
AIO_Write,384,6,2,0.010676s
AIO_Read,128,6,2,0.018232s
Write,512,8,2,0.00054s
Read,128,8,2,1.7e-05s
AIO_Write,512,8,2,0.026737s
AIO_Read,128,8,2,0.000116s
Write,640,10,2,0.000608s
Read,128,10,2,1.7e-05s
AIO_Write,640,10,2,0.0159s
AIO_Read,128,10,2,0.000112s
Write,256,4,4,0.000416s
Read,256,4,4,2.8e-05s
AIO_Write,256,4,4,0.016363s
AIO_Read,256,4,4,0.000161s
Write,384,6,4,0.000475s
Read,256,6,4,2.9e-05s
AIO_Write,384,6,4,0.013149s
AIO_Read,256,6,4,0.000429s
Write,512,8,4,0.003902s
Read,256,8,4,5.9e-05s
AIO_Write,512,8,4,0.017189s
AIO_Read,256,8,4,0.000245s
Write,640,10,4,0.00332s
Read,256,10,4,4.8e-05s
AIO_Write,640,10,4,0.015423s
AIO_Read,256,10,4,0.000269s
Write,384,6,6,0.000478s
Read,384,6,6,4.2e-05s
AIO_Write,384,6,6,0.024683s
AIO_Read,384,6,6,0.000232s
Write,512,8,6,0.000576s
Read,384,8,6,4.2e-05s
AIO_Write,512,8,6,0.01177s
AIO_Read,384,8,6,0.000575s
Write,640,10,6,0.000627s
Read,384,10,6,4.3e-05s
AIO_Write,640,10,6,0.021406s
AIO_Read,384,10,6,0.00027s
Write,512,8,8,0.003069s
Read,512,8,8,6.7e-05s
AIO_Write,512,8,8,0.018918s
AIO_Read,512,8,8,0.000402s
Write,640,10,8,0.003317s
Read,512,10,8,9.8e-05s
AIO_Write,640,10,8,0.019609s
AIO_Read,512,10,8,0.000608s
Write,640,10,10,0.000614s
Read,640,10,10,6.8e-05s
AIO_Write,640,10,10,0.0179s
AIO_Read,640,10,10,0.000377s
Write,1024,1,1,0.004244s
Read,1024,1,1,0.000472s
AIO_Write,1024,1,1,0.033458s
AIO_Read,1024,1,1,0.000364s
Write,2048,2,1,0.016047s
Read,1024,2,1,0.000509s
AIO_Write,2048,2,1,0.025098s
AIO_Read,1024,2,1,0.003272s
Write,4096,4,1,0.012179s
Read,1024,4,1,0.000478s
AIO_Write,4096,4,1,0.055973s
AIO_Read,1024,4,1,0.000304s
Write,6144,6,1,0.012994s
