I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
UMmap_Write		300m		100m		3		10		1.03133s
UMmap_Read		300m		100m		3		10		3.6782s
Write		300m		100m		0		15		0.342145s
Write		300m		100m		1		15		0.374669s
Write		300m		100m		2		15		0.376543s
Total_Write		300m		100m		3		15		0.364452s
Read		300m		100m		3		0		0.312261s
Read		300m		100m		3		1		0.343594s
Read		300m		100m		3		2		0.337262s
Read		300m		100m		3		3		0.100749s
Read		300m		100m		3		4		0.074814s
Read		300m		100m		3		5		0.054085s
Read		300m		100m		3		6		0.062792s
Read		300m		100m		3		7		0.051764s
Read		300m		100m		3		8		0.060151s
Read		300m		100m		3		9		0.056097s
Read		300m		100m		3		10		0.059618s
Read		300m		100m		3		11		0.055967s
Read		300m		100m		3		12		0.056559s
Read		300m		100m		3		13		0.059176s
Read		300m		100m		3		14		0.056564s
Total_Read		1500m		100m		3		15		0.116097s
AIO_Write		300m		100m		3		15		1.05878s
AIO_Read		300m		100m		3		15		0.816301s
MMap_Write		300m		100m		3		15		1.22838s
MMap_Read		300m		100m		3		15		1.46799s
UMmap_Write		300m		100m		3		15		1.04324s
UMmap_Read		300m		100m		3		15		5.41897s
Write		200m		200m		0		5		0.628278s
Total_Write		200m		200m		1		5		0.628278s
Read		200m		200m		1		0		0.585092s
Read		200m		200m		1		1		0.078733s
Read		200m		200m		1		2		0.060207s
Read		200m		200m		1		3		0.052252s
Read		200m		200m		1		4		0.052171s
Total_Read		1000m		200m		1		5		0.165691s
AIO_Write		200m		200m		1		5		0.719068s
AIO_Read		200m		200m		1		5		0.545438s
MMap_Write		200m		200m		1		5		1.18724s
MMap_Read		200m		200m		1		5		1.24846s
UMmap_Write		200m		200m		1		5		0.707811s
UMmap_Read		200m		200m		1		5		3.91269s
Write		200m		200m		0		10		0.629338s
Total_Write		200m		200m		1		10		0.629338s
Read		200m		200m		1		0		0.585264s
Read		200m		200m		1		1		0.078117s
Read		200m		200m		1		2		0.055627s
Read		200m		200m		1		3		0.05398s
Read		200m		200m		1		4		0.052498s
Read		200m		200m		1		5		0.051635s
Read		200m		200m		1		6		0.057408s
Read		200m		200m		1		7		0.051537s
Read		200m		200m		1		8		0.050795s
Read		200m		200m		1		9		0.051064s
Total_Read		2000m		200m		1		10		0.108793s
AIO_Write		200m		200m		1		10		0.71331s
AIO_Read		200m		200m		1		10		0.552219s
MMap_Write		200m		200m		1		10		1.18874s
MMap_Read		200m		200m		1		10		2.06927s
UMmap_Write		200m		200m		1		10		0.699103s
UMmap_Read		200m		200m		1		10		7.31701s
Write		200m		200m		0		15		0.626766s
Total_Write		200m		200m		1		15		0.626766s
Read		200m		200m		1		0		0.601125s
Read		200m		200m		1		1		0.076824s
Read		200m		200m		1		2		0.055163s
Read		200m		200m		1		3		0.054341s
Read		200m		200m		1		4		0.055496s
Read		200m		200m		1		5		0.054252s
Read		200m		200m		1		6		0.052784s
Read		200m		200m		1		7		0.051473s
Read		200m		200m		1		8		0.051303s
Read		200m		200m		1		9		0.051187s
Read		200m		200m		1		10		0.051288s
Read		200m		200m		1		11		0.051294s
Read		200m		200m		1		12		0.051302s
Read		200m		200m		1		13		0.051679s
Read		200m		200m		1		14		0.050757s
Total_Read		3000m		200m		1		15		0.0906845s
AIO_Write		200m		200m		1		15		0.715432s
AIO_Read		200m		200m		1		15		0.545083s
MMap_Write		200m		200m		1		15		1.18135s
MMap_Read		200m		200m		1		15		2.93579s
UMmap_Write		200m		200m		1		15		0.707368s
UMmap_Read		200m		200m		1		15		3.57115s
Write		400m		200m		0		5		0.633455s
Write		400m		200m		1		5		0.662329s
Total_Write		400m		200m		2		5		0.647892s
Read		400m		200m		2		0		0.627146s
Read		400m		200m		2		1		0.635104s
