I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Read		400m		40m		10		1		0.378103s
Read		400m		40m		10		2		0.32148s
Read		400m		40m		10		3		0.327334s
Read		400m		40m		10		4		0.341424s
Read		400m		40m		10		5		0.338848s
Read		400m		40m		10		6		0.330141s
Read		400m		40m		10		7		0.312334s
Read		400m		40m		10		8		0.304431s
Read		400m		40m		10		9		0.36891s
Total_Read		400m		40m		10		10		0.338533s
AIO_Write		400m		40m		10		10		3.86079s
AIO_Read		400m		40m		10		10		2.41681s
MMap_Write		400m		40m		10		10		1.52343s
MMap_Read		400m		40m		10		10		1.56045s
UMmap_Write		400m		40m		10		10		2.41305s
UMmap_Read		400m		40m		10		10		1.62576s
Write		60m		60m		0		1		0.451145s
Total_Write		60m		60m		1		1		0.451145s
Read		60m		60m		1		0		0.515313s
Total_Read		60m		60m		1		1		0.515313s
AIO_Write		60m		60m		1		1		0.817164s
AIO_Read		60m		60m		1		1		0.228559s
MMap_Write		60m		60m		1		1		0.456449s
MMap_Read		60m		60m		1		1		0.424214s
UMmap_Write		60m		60m		1		1		0.243213s
UMmap_Read		60m		60m		1		1		0.458494s
Write		300m		60m		0		5		0.503512s
Write		300m		60m		1		5		0.469355s
Write		300m		60m		2		5		0.517786s
Write		300m		60m		3		5		0.436386s
Write		300m		60m		4		5		0.477995s
Total_Write		300m		60m		5		5		0.481007s
Read		300m		60m		5		0		0.392579s
Read		300m		60m		5		1		0.596283s
Read		300m		60m		5		2		0.389893s
Read		300m		60m		5		3		0.499974s
Read		300m		60m		5		4		0.458279s
Total_Read		300m		60m		5		5		0.467402s
AIO_Write		300m		60m		5		5		2.54641s
AIO_Read		300m		60m		5		5		1.18597s
MMap_Write		300m		60m		5		5		1.90071s
MMap_Read		300m		60m		5		5		1.43285s
UMmap_Write		300m		60m		5		5		1.34745s
UMmap_Read		300m		60m		5		5		1.88556s
Write		600m		60m		0		10		0.491554s
Write		600m		60m		1		10		0.528729s
Write		600m		60m		2		10		0.572027s
Write		600m		60m		3		10		0.452322s
Write		600m		60m		4		10		0.451321s
Write		600m		60m		5		10		0.457678s
Write		600m		60m		6		10		0.499177s
Write		600m		60m		7		10		0.443025s
Write		600m		60m		8		10		0.481212s
Write		600m		60m		9		10		0.533315s
Total_Write		600m		60m		10		10		0.491036s
Read		600m		60m		10		0		0.405986s
Read		600m		60m		10		1		0.338232s
Read		600m		60m		10		2		0.39759s
Read		600m		60m		10		3		0.43688s
Read		600m		60m		10		4		0.414213s
Read		600m		60m		10		5		0.431772s
Read		600m		60m		10		6		0.430028s
Read		600m		60m		10		7		0.424919s
Read		600m		60m		10		8		0.438547s
Read		600m		60m		10		9		0.416034s
Total_Read		600m		60m		10		10		0.41342s
AIO_Write		600m		60m		10		10		5.73963s
AIO_Read		600m		60m		10		10		3.98134s
MMap_Write		600m		60m		10		10		3.81456s
UMmap_Write		600m		60m		10		10		3.21339s
UMmap_Read		600m		60m		10		10		3.50907s
