I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
UMmap_Write		30m		10m		3		10		0.153226s
UMmap_Read		30m		10m		3		10		0.512659s
Write		30m		10m		0		15		0.260176s
Write		30m		10m		1		15		0.264992s
Write		30m		10m		2		15		0.218482s
Total_Write		30m		10m		3		15		0.247883s
Read		30m		10m		3		0		0.274505s
Read		30m		10m		3		1		0.282673s
Read		30m		10m		3		2		0.26207s
Read		30m		10m		3		3		0.241302s
Read		30m		10m		3		4		0.180423s
Read		30m		10m		3		5		0.232786s
Read		30m		10m		3		6		0.231641s
Read		30m		10m		3		7		0.234893s
Read		30m		10m		3		8		0.238768s
Read		30m		10m		3		9		0.224318s
Read		30m		10m		3		10		0.238786s
Read		30m		10m		3		11		0.239489s
Read		30m		10m		3		12		0.236564s
Read		30m		10m		3		13		0.233599s
Read		30m		10m		3		14		0.239988s
Total_Read		150m		10m		3		15		0.239454s
AIO_Write		30m		10m		3		15		0.168356s
AIO_Read		30m		10m		3		15		0.095811s
MMap_Write		30m		10m		3		15		0.166444s
MMap_Read		30m		10m		3		15		0.391438s
UMmap_Write		30m		10m		3		15		0.156694s
UMmap_Read		30m		10m		3		15		0.705943s
Write		20m		20m		0		5		0.28466s
Total_Write		20m		20m		1		5		0.28466s
Read		20m		20m		1		0		0.259943s
Read		20m		20m		1		1		0.238462s
Read		20m		20m		1		2		0.214341s
Read		20m		20m		1		3		0.206271s
Read		20m		20m		1		4		0.221917s
Total_Read		100m		20m		1		5		0.228187s
AIO_Write		20m		20m		1		5		0.135044s
AIO_Read		20m		20m		1		5		0.068952s
MMap_Write		20m		20m		1		5		0.158969s
MMap_Read		20m		20m		1		5		0.300165s
UMmap_Write		20m		20m		1		5		0.102191s
UMmap_Read		20m		20m		1		5		0.582556s
Write		20m		20m		0		10		0.302552s
Total_Write		20m		20m		1		10		0.302552s
Read		20m		20m		1		0		0.306869s
Read		20m		20m		1		1		0.247852s
Read		20m		20m		1		2		0.233383s
Read		20m		20m		1		3		0.227773s
Read		20m		20m		1		4		0.215581s
Read		20m		20m		1		5		0.236062s
Read		20m		20m		1		6		0.160941s
Read		20m		20m		1		7		0.238612s
Read		20m		20m		1		8		0.227712s
Read		20m		20m		1		9		0.224789s
